census_id,geoid,muniname,statefips,state_abbv,statename,countyfips,countyname,placecity,lat,long
04200480100000,0505740,TOWN OF BETHEL HEIGHTS,05,AR,ARKANSAS,007,BENTON,05740,36.220085,-94.116318
14208250100000,1712203,CITY OF CENTREVILLE,17,IL,ILLINOIS,163,ST CLAIR,12203,38.569235,-90.122284
14208200100000,1700958,VILLAGE OF ALORTON,17,IL,ILLINOIS,163,ST CLAIR,00958,38.585664,-90.116303
14208200400000,1710370,VILLAGE OF CAHOKIA,17,IL,ILLINOIS,163,ST CLAIR,10370,38.565885,-90.176122
16208000300000,1919810,CITY OF DELPHOS,19,IA,IOWA,159,RINGGOLD,19810,40.663177,-94.339571
16207300700000,1935760,CITY OF HEPBURN,19,IA,IOWA,145,PAGE,35760,40.847657,-95.016686
16204600900000,1962985,CITY OF PIONEER,19,IA,IOWA,091,HUMBOLDT,62985,42.653525,-94.390892
17203900500000,2024725,CITY OF FREEPORT,20,KS,KANSAS,077,HARPER,24725,37.198889,-97.854364
17200100700000,2046500,CITY OF MILDRED,20,KS,KANSAS,001,ALLEN,46500,38.024782,-95.174165
19205600300000,2238985,TOWN OF JUNCTION CITY,22,LA,LOUISIANA,111,UNION,38985,33.007222,-92.722503
26209505000000,2945110,VILLAGE OF MACKENZIE,29,MO,MISSOURI,189,ST LOUIS,45110,38.580948,-90.316321
27204300200000,3010000,TOWN OF BROCKTON,30,MT,MONTANA,085,ROOSEVELT,10000,48.150065,-104.914094
28207400500000,3140325,VILLAGE OF PRESTON,31,NE,NEBRASKA,147,RICHARDSON,40325,40.034587,-95.518106
31200402400000,3458920,BOROUGH OF PINE VALLEY,34,NJ,NEW JERSEY,007,CAMDEN,58920,39.78721,-74.975558
33203301600000,3604528,VILLAGE OF BARNEVELD,36,NY,NEW YORK,065,ONEIDA,04528,43.273791,-75.189029
33200700500000,3615187,VILLAGE OF CHERRY CREEK,36,NY,NEW YORK,013,CHAUTAUQUA,15187,42.295845,-79.100858
33202500500000,3632424,VILLAGE OF HARRISVILLE,36,NY,NEW YORK,049,LEWIS,32424,44.152823,-75.320546
33205210200000,3646085,VILLAGE OF MASTIC BEACH,36,NY,NEW YORK,103,SUFFOLK,46085,40.767592,-72.837558
33204500800000,3648571,VILLAGE OF MORRISTOWN,36,NY,NEW YORK,089,ST LAWRENCE,48571,44.584013,-75.64546
33204400700000,3669441,VILLAGE OF SOUTH NYACK,36,NY,NEW YORK,087,ROCKLAND,69441,41.077272,-73.916601
35202500300000,3804740,CITY OF BANTRY,38,ND,NORTH DAKOTA,049,MCHENRY,04740,48.497437,-100.60976
36201300100000,3901742,VILLAGE OF AMELIA,39,OH,OHIO,025,CLERMONT,01742,39.022879,-84.218315
36206700200000,3908168,VILLAGE OF BRADY LAKE,39,OH,OHIO,133,PORTAGE,08168,41.162587,-81.312381
36207601000000,3943596,VILLAGE OF LIMAVILLE,39,OH,OHIO,151,STARK,43596,40.985543,-81.150705
36201301000000,3955664,VILLAGE OF NEWTONSVILLE,39,OH,OHIO,025,CLERMONT,55664,39.181542,-84.088483
36204101400000,3972760,VILLAGE OF SMITHFIELD,39,OH,OHIO,081,JEFFERSON,72760,40.271558,-80.777267
42201900500000,4637140,TOWN OF LILY,46,SD,SOUTH DAKOTA,037,DAY,37140,45.181749,-97.68348
46201400300000,5054850,VILLAGE OF PERKINSVILLE,50,VT,VERMONT,027,WINDSOR,54850,43.37046,-72.515351
46201200700000,5076900,VILLAGE OF WATERBURY,50,VT,VERMONT,023,WASHINGTON,76900,44.342769,-72.744961
49204100400000,5467996,TOWN OF RHODELL,54,WV,WEST VIRGINIA,081,RALEIGH,67996,37.609517,-81.30505
50203700200000,5509975,VILLAGE OF BROKAW,55,WI,WISCONSIN,073,MARATHON,09975,45.02596,-89.658405
