census_id_pid6,census_id,geoid,muniname,statefips,state_abbv,statename,countyfips,countyname,placecity,lat,long
100019,01200100300000,0162328,CITY OF PRATTVILLE,01,AL,ALABAMA,001,AUTAUGA,62328,32.449041,-86.449401
122498,01200100100000,0103220,TOWN OF AUTAUGAVILLE,01,AL,ALABAMA,001,AUTAUGA,03220,32.432563,-86.658752
160545,01200100200000,0106460,TOWN OF BILLINGSLEY,01,AL,ALABAMA,001,AUTAUGA,06460,32.664711,-86.706713
122499,01200200100000,0104660,CITY OF BAY MINETTE,01,AL,ALABAMA,003,BALDWIN,04660,30.894436,-87.791306
160546,01200200200000,0119648,CITY OF DAPHNE,01,AL,ALABAMA,003,BALDWIN,19648,30.626072,-87.881783
160548,01200200400000,0125240,CITY OF FAIRHOPE,01,AL,ALABAMA,003,BALDWIN,25240,30.52092,-87.879122
122500,01200200500000,0126992,CITY OF FOLEY,01,AL,ALABAMA,003,BALDWIN,26992,30.397009,-87.664211
100020,01200250100000,0132272,CITY OF GULF SHORES,01,AL,ALABAMA,003,BALDWIN,32272,30.275837,-87.701258
160550,01200240100000,0157144,CITY OF ORANGE BEACH,01,AL,ALABAMA,003,BALDWIN,57144,30.293987,-87.595371
184283,01200200600000,0165208,CITY OF ROBERTSDALE,01,AL,ALABAMA,003,BALDWIN,65208,30.557139,-87.704723
193050,01200220100000,0171976,CITY OF SPANISH FORT,01,AL,ALABAMA,003,BALDWIN,71976,30.722968,-87.865917
160547,01200200300000,0123320,TOWN OF ELBERTA,01,AL,ALABAMA,003,BALDWIN,23320,30.373753,-87.595729
122502,01200250200000,0144608,TOWN OF LOXLEY,01,AL,ALABAMA,003,BALDWIN,44608,30.684588,-87.739213
219533,01200210100000,0146072,TOWN OF MAGNOLIA SPRINGS,01,AL,ALABAMA,003,BALDWIN,46072,30.40341,-87.775895
223813,01200210200000,0159088,TOWN OF PERDIDO BEACH,01,AL,ALABAMA,003,BALDWIN,59088,30.353879,-87.5048
160549,01200200700000,0170536,TOWN OF SILVERHILL,01,AL,ALABAMA,003,BALDWIN,70536,30.545359,-87.750557
122501,01200200800000,0173872,TOWN OF SUMMERDALE,01,AL,ALABAMA,003,BALDWIN,73872,30.476741,-87.687561
100021,01200300300000,0115640,CITY OF CLIO,01,AL,ALABAMA,005,BARBOUR,15640,31.708516,-85.611039
189544,01200300400000,0124568,CITY OF EUFAULA,01,AL,ALABAMA,005,BARBOUR,24568,31.909937,-85.152709
214170,01200310100000,0103724,TOWN OF BAKERHILL,01,AL,ALABAMA,005,BARBOUR,03724,31.776923,-85.295408
160551,01200300100000,0107672,TOWN OF BLUE SPRINGS,01,AL,ALABAMA,005,BARBOUR,07672,31.663516,-85.503526
160552,01200300200000,0115376,TOWN OF CLAYTON,01,AL,ALABAMA,005,BARBOUR,15376,31.882277,-85.460454
160553,01200300500000,0144344,TOWN OF LOUISVILLE,01,AL,ALABAMA,005,BARBOUR,44344,31.781047,-85.558336
160554,01200400100000,0109136,CITY OF BRENT,01,AL,ALABAMA,007,BIBB,09136,32.944893,-87.172088
122503,01200400200000,0113672,CITY OF CENTREVILLE,01,AL,ALABAMA,007,BIBB,13672,32.958967,-87.132043
100023,01200400300000,0180928,TOWN OF WEST BLOCTON,01,AL,ALABAMA,007,BIBB,80928,33.118176,-87.125225
160555,01200430100000,0183640,TOWN OF WOODSTOCK,01,AL,ALABAMA,007,BIBB,83640,33.217498,-87.148433
211969,01200500300000,0157000,CITY OF ONEONTA,01,AL,ALABAMA,009,BLOUNT,57000,33.947038,-86.489793
122505,01200550100000,0101396,TOWN OF ALLGOOD,01,AL,ALABAMA,009,BLOUNT,01396,33.907623,-86.516109
160556,01200500100000,0107456,TOWN OF BLOUNTSVILLE,01,AL,ALABAMA,009,BLOUNT,07456,34.075838,-86.583918
100024,01200580100000,0115472,TOWN OF CLEVELAND,01,AL,ALABAMA,009,BLOUNT,15472,34.002179,-86.561352
122504,01200500200000,0133640,TOWN OF HAYDEN,01,AL,ALABAMA,009,BLOUNT,33640,33.894514,-86.744224
122506,01200580200000,0134480,TOWN OF HIGHLAND LAKE,01,AL,ALABAMA,009,BLOUNT,34480,33.894586,-86.422553
201317,01200590200000,0143888,TOWN OF LOCUST FORK,01,AL,ALABAMA,009,BLOUNT,43888,33.876794,-86.647093
122507,01200590300000,0153448,TOWN OF NECTAR,01,AL,ALABAMA,009,BLOUNT,53448,33.979779,-86.620614
160559,01200590100000,0166408,TOWN OF ROSA,01,AL,ALABAMA,009,BLOUNT,66408,33.992756,-86.500325
160558,01200580300000,0171280,TOWN OF SNEAD,01,AL,ALABAMA,009,BLOUNT,71280,34.116228,-86.390916
160557,01200560100000,0174160,TOWN OF SUSAN MOORE,01,AL,ALABAMA,009,BLOUNT,74160,34.091999,-86.434156
207501,01200600200000,0177880,CITY OF UNION SPRINGS,01,AL,ALABAMA,011,BULLOCK,77880,32.139506,-85.714623
160560,01200600100000,0148424,TOWN OF MIDWAY,01,AL,ALABAMA,011,BULLOCK,48424,32.076373,-85.524417
160561,01200700200000,0129560,CITY OF GEORGIANA,01,AL,ALABAMA,013,BUTLER,29560,31.639134,-86.746762
122508,01200700300000,0131912,CITY OF GREENVILLE,01,AL,ALABAMA,013,BUTLER,31912,31.843072,-86.636951
193051,01200700400000,0145496,TOWN OF MCKENZIE,01,AL,ALABAMA,013,BUTLER,45496,31.54647,-86.725954
100025,01200800100000,0101852,CITY OF ANNISTON,01,AL,ALABAMA,015,CALHOUN,01852,33.673469,-85.810891
160563,01200800400000,0138272,CITY OF JACKSONVILLE,01,AL,ALABAMA,015,CALHOUN,38272,33.810066,-85.755217
122509,01200800600000,0157576,CITY OF OXFORD,01,AL,ALABAMA,015,CALHOUN,57576,33.59641,-85.868219
207502,01200800700000,0159640,CITY OF PIEDMONT,01,AL,ALABAMA,015,CALHOUN,59640,33.927557,-85.615267
160564,01200800800000,0180352,CITY OF WEAVER,01,AL,ALABAMA,015,CALHOUN,80352,33.75907,-85.809363
160562,01200800300000,0135152,TOWN OF HOBSON CITY,01,AL,ALABAMA,015,CALHOUN,35152,33.618801,-85.846146
201318,01200800500000,0156472,TOWN OF OHATCHEE,01,AL,ALABAMA,015,CALHOUN,56472,33.789759,-86.029062
100026,01200900200000,0140672,CITY OF LAFAYETTE,01,AL,ALABAMA,017,CHAMBERS,40672,32.899427,-85.400795
160565,01200900300000,0141296,CITY OF LANETT,01,AL,ALABAMA,017,CHAMBERS,41296,32.858649,-85.207788
122511,01200960100000,0178204,CITY OF VALLEY,01,AL,ALABAMA,017,CHAMBERS,78204,32.801427,-85.204438
221115,01200910100000,0119216,TOWN OF CUSSETA,01,AL,ALABAMA,017,CHAMBERS,19216,32.787637,-85.305769
122510,01200900100000,0126200,TOWN OF FIVE POINTS,01,AL,ALABAMA,017,CHAMBERS,26200,33.017311,-85.351592
211970,01200900400000,0180256,TOWN OF WAVERLY,01,AL,ALABAMA,017,CHAMBERS,80256,32.730078,-85.570999
160566,01201000200000,0113648,CITY OF CENTRE,01,AL,ALABAMA,019,CHEROKEE,13648,34.153059,-85.671683
207503,01201000100000,0112760,TOWN OF CEDAR BLUFF,01,AL,ALABAMA,019,CHEROKEE,12760,34.221422,-85.588565
201319,01201000300000,0129296,TOWN OF GAYLESVILLE,01,AL,ALABAMA,019,CHEROKEE,29296,34.267444,-85.561248
160567,01201080100000,0142016,TOWN OF LEESBURG,01,AL,ALABAMA,019,CHEROKEE,42016,34.178627,-85.777897
122512,01201040100000,0167920,TOWN OF SAND ROCK,01,AL,ALABAMA,019,CHEROKEE,67920,34.231228,-85.770416
207504,01201100100000,0115136,CITY OF CLANTON,01,AL,ALABAMA,021,CHILTON,15136,32.845572,-86.619494
122513,01201100200000,0138608,CITY OF JEMISON,01,AL,ALABAMA,021,CHILTON,38608,32.970705,-86.73307
100027,01201100300000,0146504,TOWN OF MAPLESVILLE,01,AL,ALABAMA,021,CHILTON,46504,32.784391,-86.879694
160568,01201100400000,0176080,TOWN OF THORSBY,01,AL,ALABAMA,021,CHILTON,76080,32.916909,-86.720335
160569,01201200100000,0111032,TOWN OF BUTLER,01,AL,ALABAMA,023,CHOCTAW,11032,32.096479,-88.210781
122514,01201200200000,0129704,TOWN OF GILBERTOWN,01,AL,ALABAMA,023,CHOCTAW,29704,31.866247,-88.307545
189546,01201260100000,0143384,TOWN OF LISMAN,01,AL,ALABAMA,023,CHOCTAW,43384,32.171729,-88.284092
160570,01201260200000,0153472,TOWN OF NEEDHAM,01,AL,ALABAMA,023,CHOCTAW,53472,31.987,-88.336563
160571,01201290100000,0158968,TOWN OF PENNINGTON,01,AL,ALABAMA,023,CHOCTAW,58968,32.200612,-88.037572
100028,01201200300000,0170416,TOWN OF SILAS,01,AL,ALABAMA,023,CHOCTAW,70416,31.767802,-88.325923
193052,01201200400000,0176632,TOWN OF TOXEY,01,AL,ALABAMA,023,CHOCTAW,76632,31.910712,-88.309146
122515,01201300400000,0138152,CITY OF JACKSON,01,AL,ALABAMA,025,CLARKE,38152,31.532321,-87.891183
160574,01201300500000,0175960,CITY OF THOMASVILLE,01,AL,ALABAMA,025,CLARKE,75960,31.915011,-87.737204
160572,01201300100000,0116264,TOWN OF COFFEEVILLE,01,AL,ALABAMA,025,CLARKE,16264,31.766564,-88.086049
160573,01201300200000,0128504,TOWN OF FULTON,01,AL,ALABAMA,025,CLARKE,28504,31.790989,-87.744212
201320,01201300300000,0132080,TOWN OF GROVE HILL,01,AL,ALABAMA,025,CLARKE,32080,31.69867,-87.772868
160575,01201400100000,0102860,CITY OF ASHLAND,01,AL,ALABAMA,027,CLAY,02860,33.269892,-85.833706
160576,01201400200000,0143264,CITY OF LINEVILLE,01,AL,ALABAMA,027,CLAY,43264,33.312832,-85.752278
160577,01201500300000,0133976,CITY OF HEFLIN,01,AL,ALABAMA,029,CLEBURNE,33976,33.6474,-85.569339
122516,01201500100000,0123176,TOWN OF EDWARDSVILLE,01,AL,ALABAMA,029,CLEBURNE,23176,33.88374,-85.414124
100029,01201500200000,0128432,TOWN OF FRUITHURST,01,AL,ALABAMA,029,CLEBURNE,28432,33.729539,-85.431249
160578,01201550100000,0163408,TOWN OF RANBURNE,01,AL,ALABAMA,029,CLEBURNE,63408,33.525853,-85.339013
122517,01201600100000,0123296,CITY OF ELBA,01,AL,ALABAMA,031,COFFEE,23296,31.417218,-86.077115
160579,01201600200000,0124184,CITY OF ENTERPRISE,01,AL,ALABAMA,031,COFFEE,24184,31.326898,-85.844021
100032,01201600300000,0140096,TOWN OF KINSTON,01,AL,ALABAMA,031,COFFEE,40096,31.219604,-86.170075
122518,01201600400000,0153856,TOWN OF NEW BROCKTON,01,AL,ALABAMA,031,COFFEE,53856,31.37671,-85.919028
122519,01201700400000,0153016,CITY OF MUSCLE SHOALS,01,AL,ALABAMA,033,COLBERT,53016,34.742657,-87.633767
100035,01201700500000,0169648,CITY OF SHEFFIELD,01,AL,ALABAMA,033,COLBERT,69648,34.757019,-87.697085
160583,01201700600000,0177280,CITY OF TUSCUMBIA,01,AL,ALABAMA,033,COLBERT,77280,34.718502,-87.702586
